"Gene_name" "logFC" "CI.L" "CI.R" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"1" "NEDD4L" -1.24353860179388 -1.61050019029424 -0.876577013293519 3.98439001274874 -6.68221528519419 2.28280612912331e-10 1.70702499006836e-06 13.1481662987617
"2" "ARHGEF12" -1.3284950853637 -1.7412894820693 -0.915700688658104 4.50858617333166 -6.34611529519894 1.44705303345389e-09 4.0597072853549e-06 11.4218737651872
"3" "GIMAP4" 1.04205578100837 0.714430293562485 1.36968126845425 7.98976365174372 6.27184167522628 2.15909941026755e-09 4.84588271640449e-06 11.0481194630752
"4" "FKBP1B" -1.00001947942181 -1.32687147135176 -0.673167487491855 4.61938226601005 -6.03308054080582 7.65855978598684e-09 1.0743044739793e-05 9.86643582872984
"5" "C2orf88" -1.22977541855141 -1.66700883410972 -0.792542002993096 6.50813570438693 -5.54618384912202 9.16198901300394e-08 6.09346301347554e-05 7.55509347286383
"6" "TMCC2" -1.2172973102176 -1.65612699254638 -0.778467627888823 5.33008740464322 -5.46993878817492 1.33429253325221e-07 7.2491223590477e-05 7.20570376496321
"7" "March 8" -1.18793823956289 -1.62564549671311 -0.750230982412667 5.31446836883417 -5.35170190273635 2.37336270900541e-07 0.000106530651013279 6.67087982963588
"8" "DAAM2" -1.42856837167575 -1.96159069595838 -0.895546047393124 4.70838792463819 -5.28490799865114 3.27331966659846e-07 0.000122443977661893 6.37256218490688
"9" "HBQ1" -1.00718330519871 -1.40127137682281 -0.613095233574616 8.636102779 -5.03961115004438 1.04038911407925e-06 0.000224523973811487 5.30118767225765
"10" "TNS1" -1.07408387248159 -1.52431225972368 -0.623855485239489 5.55203316917085 -4.70421455114948 4.74449827641838e-06 0.000619101856487989 3.89993903601444
"11" "KCNH2" -1.2862597094713 -1.82762126251404 -0.744898156428565 5.37036313849246 -4.68514521362678 5.16025896091648e-06 0.000665614092636836 3.82254668722691
"12" "KANK2" -1.00007309614443 -1.42127397461839 -0.578872217670469 3.64806420676884 -4.68192308963054 5.23389538373488e-06 0.00066744061359401 3.80949441608911
"13" "KRT23" 1.12728690216045 0.650022864781687 1.60455093953922 6.84391965907538 4.65755025496126 5.82467709113646e-06 0.000702844368997133 3.71099535047436
"14" "ABCC13" -1.18485404395361 -1.68829378568568 -0.681414302221544 4.07111531340704 -4.64086738724548 6.26559255903309e-06 0.000721863166126074 3.6438099558655
"15" "C14orf45" -1.25858884243041 -1.79338755738229 -0.723790127478541 3.93481423467839 -4.6406126733158 6.27256765560171e-06 0.000721863166126074 3.64278565817228
"16" "CA2" -1.16617920666547 -1.66183320873587 -0.670525204595075 5.44894684805528 -4.63947112178142 6.30392000359609e-06 0.000721863166126074 3.6381956131531
"17" "SESN3" -1.20747803078144 -1.73154893242818 -0.683407129134704 6.64415148364322 -4.54329556139636 9.56397883108045e-06 0.000967703453836593 3.25473207096533
"18" "CX3CR1" 1.0633639443429 0.596342105377526 1.53038578330828 8.38385973579397 4.48979529358989 1.20263475709036e-05 0.00108744080309972 3.04421801413226
"19" "C18orf10" -1.01326335741846 -1.45862034009057 -0.567906374746346 6.48208644653266 -4.48637809068193 1.22027940409047e-05 0.00108744080309972 3.03084037398142
"20" "SPTB" -1.05595911251697 -1.52568220275476 -0.586236022279192 5.10614566592462 -4.43289038541172 1.53110884910483e-05 0.00122729310747531 2.82252370958272
"21" "KLF1" -1.12640099897537 -1.65021502194337 -0.60258697600737 6.27949402272864 -4.24031095296161 3.40825805540706e-05 0.00189862853901318 2.08944437481103
"22" "NUDT4" -1.11669461945218 -1.66140130057725 -0.571987938327102 6.6516587859196 -4.04253250694397 7.54002013122747e-05 0.00302519243999562 1.36474303293207
"23" "ZBTB16" -1.02449287963056 -1.52656083295719 -0.522424926303931 4.76641581933668 -4.02372454491614 8.11931292620503e-05 0.00307934737738057 1.29733939479185
"24" "FLCN" -1.05552630376327 -1.57686832374985 -0.534184283776691 5.26737742371859 -3.9923456027209 9.18122351950722e-05 0.00323999026213554 1.18547498552058
"25" "CA1" -1.3790251923955 -2.06424766411401 -0.693802720676993 8.79413100444221 -3.96846361089458 0.000100766575067065 0.00341654900263291 1.10083353459584
"26" "GYPB" -1.16148068864682 -1.76252474182379 -0.560436635469852 6.54325134448744 -3.81054845328288 0.00018446855582602 0.00479191234601759 0.552056742008886
"27" "RAP1GAP" -1.12931207750813 -1.7289277583667 -0.529696396649563 4.12308921027638 -3.71383658723861 0.000264689655331287 0.00600683827002583 0.22542292371736
"28" "IFIT1B" -1.14010512136418 -1.80233185016338 -0.477878392564978 4.89329668338191 -3.39484531197273 0.000827916595113646 0.0107718211409106 -0.799897794489806
"29" "XK" -1.0366026527769 -1.63893471762522 -0.434270587928578 6.27976985074874 -3.39358031592045 0.000831538981446973 0.0107878964737548 -0.803802379806303
"30" "IFIT2" 1.04091976910737 0.29633672562059 1.78550281259415 6.76739546133166 2.75667720080707 0.00637891543365663 0.0347833765774999 -2.60232388802565
"31" "OAS3" 1.12785663874199 0.286978019248068 1.96873525823592 5.58221212728141 2.64485817928613 0.00882099445889473 0.043038782529442 -2.88278669186408
