"GSM1691863" "GSM1691865" "GSM1691866" "GSM1691867" "GSM1691871" "GSM1602802" "GSM1602803" "GSM1691873" "GSM1691874" "GSM1691875" "GSM1691877" "GSM1691878" "GSM1602805" "GSM1691882" "GSM1691883" "GSM1691885" "GSM1691886" "GSM1691890" "GSM1691893" "GSM1691895" "GSM1691896" "GSM1691897" "GSM1691898" "GSM1691901" "GSM1691903" "GSM1691904" "GSM1602810" "GSM1691905" "GSM1691909" "GSM1602811" "GSM1691911" "GSM1602812" "GSM1691915" "GSM1602815" "GSM1691918" "GSM1602816" "GSM1691923" "GSM1691925" "GSM1602818" "GSM1691927" "GSM1602819" "GSM1691928" "GSM1691929" "GSM1602820" "GSM1691933" "GSM1691934" "GSM1691938" "GSM1691941" "GSM1691942" "GSM1691944" "GSM1691947" "GSM1691953" "GSM1691954" "GSM1602824" "GSM1691957" "GSM1691959" "GSM1691960" "GSM1691961" "GSM1691962" "GSM1691963" "GSM1691968" "GSM1602825" "GSM1691970" "GSM1691973" "GSM1691977" "GSM1691980" "GSM1691983" "GSM1691986" "GSM1691987" "GSM1691989" "GSM1691990" "GSM1602826" "GSM1691993" "GSM1691994" "GSM1691995" "GSM1691997" "GSM1692000" "GSM1692002" "GSM1602827" "GSM1692005" "GSM1692007" "GSM1692008" "GSM1602829" "GSM1692009" "GSM1692012" "GSM1602830" "GSM1602831" "GSM1602832" "GSM1692016" "GSM1692019" "GSM1602834" "GSM1692022" "GSM1692023" "GSM1692025" "GSM1692030" "GSM1602836" "GSM1692032" "GSM1692033" "GSM1692034" "GSM1692035" "GSM1602837" "GSM1602838" "GSM1692040" "GSM1692041" "GSM1692042" "GSM1692045" "GSM1692050" "GSM1692051" "GSM1692052" "GSM1692055" "GSM1692058" "GSM1692059" "GSM1692060" "GSM1692061" "GSM1692063" "GSM1602840" "GSM1602841" "GSM1692065" "GSM1692066" "GSM1692068" "GSM1602842" "GSM1692073" "GSM1692074" "GSM1691861" "GSM1691864" "GSM1691868" "GSM1691880" "GSM1691884" "GSM1691900" "GSM1602813" "GSM1691932" "GSM1691935" "GSM1691937" "GSM1691943" "GSM1691946" "GSM1602823" "GSM1691965" "GSM1691966" "GSM1691969" "GSM1691981" "GSM1691984" "GSM1691985" "GSM1691991" "GSM1691992" "GSM1692004" "GSM1692006" "GSM1692011" "GSM1692017" "GSM1692024" "GSM1692029" "GSM1692038" "GSM1692043" "GSM1602839" "GSM1692047" "GSM1692056" "GSM1692064" "GSM1692071"
"CA1" 9.545743645 9.08716192 10.36135113 11.9844455 8.386223525 5.830448246 8.045423435 10.77977878 7.933907862 5.733138961 12.3932517 5.572527379 7.482049696 5.227976113 10.69936145 8.761161537 6.358776168 9.031602802 12.66058523 7.536995653 10.15472121 8.370033895 11.28649225 7.037549068 13.06805399 8.394808392 8.238198864 9.591167146 7.132567184 5.156925262 10.41223925 11.38207561 8.840146601 9.175038743 4.339115332 10.55436834 10.26239271 6.901963363 12.32642896 7.737522758 6.900537691 7.70898386 10.84262144 11.41224449 9.59909944 10.99360906 7.771197367 10.11772945 11.82343877 9.47476258 4.847824624 8.186578591 9.97077896 10.817951 11.6110478 6.795081916 8.517979031 10.43292312 11.67952024 9.463860954 10.86593443 9.612957633 12.07838391 8.205685198 8.310108846 12.13254204 9.271739289 10.14611575 7.213849307 9.727452368 8.981024866 8.857811366 10.27635879 11.41160997 11.18097787 7.158058221 10.37213226 7.646546982 11.91943617 9.441133424 7.335209554 10.88465371 6.410744101 10.00699594 10.88595021 6.502667176 7.915399362 7.848778753 8.561027645 10.74698827 10.09969493 10.76940743 11.4014915 9.292148823 12.284355 5.854181499 11.01054162 9.326525383 7.893406579 9.382723239 8.406365549 8.468293785 10.41795076 6.070375775 9.085392384 5.429002846 9.38686114 9.643712653 7.415269271 9.339639303 10.29741332 6.681281246 11.05557284 8.836813259 7.71298596 8.234321431 8.141224582 11.51456953 10.43280364 7.164968068 7.046697252 10.47193195 8.037549183 11.34838431 9.83900392 11.80862036 12.25078946 6.458843833 8.849238616 12.33946534 10.29401899 8.523794299 12.322254 10.89484414 10.98239658 11.53263486 8.69842257 11.83475441 11.85231784 11.07400592 12.16925911 9.689103156 10.89706118 6.831124948 8.79504723 11.88995097 11.46539659 8.541282968 12.13510401 11.45128407 11.58840051 11.03206551 9.571761536 9.14224901 10.68510308 12.75900917 7.28033556
"HBQ1" 9.63587681 9.465166864 10.17404928 10.04187533 8.230835249 7.344309683 9.083956469 9.635212577 8.04976115 6.901751094 9.09959067 7.682051432 6.038986162 5.766273684 9.325961537 8.214659677 6.405337306 8.426496478 11.38442982 8.87822055 10.24669825 9.520571164 8.938153594 8.674192763 11.46489751 6.779192279 8.974712454 9.801812399 6.478933307 7.508679705 9.015453328 8.642910384 9.671036597 7.721963923 7.810847809 9.138697861 8.230118747 6.257167028 11.04606052 8.493532556 7.029162275 9.135269985 9.415372874 8.247337778 7.922652299 8.45441357 8.290243727 8.868415396 10.60021019 10.00087891 7.779300511 9.444398048 8.75417817 9.749765646 9.862973689 8.331816622 8.88082324 9.292688162 8.168291671 8.171312872 9.677653955 9.339467343 9.463319736 8.375654564 7.989743971 10.03167386 8.033045136 8.970507368 7.023151443 9.351834554 9.294794271 9.089849473 9.525119166 8.393337312 9.78545893 7.413490272 9.870307458 7.285966336 8.892878994 8.914653784 8.432760066 7.837317664 7.444948167 6.593385537 9.622759656 7.672229906 7.785266898 8.34530414 8.610365065 9.219637271 9.979652147 9.242877549 8.827576695 9.440496605 10.45453459 8.207564174 9.882821415 9.321752489 7.81331049 8.803885292 8.242591296 8.251639103 9.674240121 6.659997621 9.569517733 8.283536046 8.414050218 9.225484407 6.553433533 8.412328219 9.254652055 8.097381505 8.568405512 8.853903513 8.359581828 7.864723775 7.996063548 9.215834671 8.206572428 8.395129298 6.112229973 9.18464296 9.493586425 8.839401478 9.223998595 10.6388319 10.04069332 7.232940829 10.14691228 11.15765749 10.38680992 9.38637103 10.70648802 10.11862179 10.01823543 10.94720571 9.587718876 11.50920901 10.17698285 9.64300854 10.44672916 9.517508135 10.09709113 7.363467476 8.09806137 9.96027384 9.313417681 7.232429649 9.778110061 9.705956204 9.866068332 9.963992182 8.878072068 8.396304833 10.69085195 10.04564045 9.173836248
"CX3CR1" 6.101501943 6.789623252 8.793874194 7.630277164 6.898979087 7.868144873 9.185009656 9.380292883 4.016466148 7.289407131 6.22122931 8.685155438 6.820989529 6.371253267 9.449977691 10.08199447 9.099795906 8.838447974 7.450756516 7.828576279 8.026505684 9.36721062 6.18527646 7.992874618 8.141328179 8.813577444 10.29797311 9.485638368 8.901578927 7.371123408 9.851983515 7.062429554 7.458883479 8.373512012 7.058958906 8.706382142 10.79005609 9.202104892 5.855016432 6.275593886 7.123311519 8.41828981 8.403488403 8.701600715 5.923203225 8.333328181 9.267788172 5.645342936 4.955905609 8.813083706 8.266037809 9.449001244 7.669097191 5.099138894 7.907894165 9.049639102 9.859774511 8.233340688 8.92880436 7.055429402 7.915428301 9.070288612 6.619508709 9.887305068 7.012593119 7.745603551 5.737336133 8.110608333 5.656182299 9.037095405 10.19436423 6.927591894 9.43169262 8.237597027 6.521193242 9.405333854 9.68781189 7.787529807 9.759051961 9.106581518 8.116957026 8.818070722 7.323207896 7.674911469 7.905686007 8.924473022 9.874100296 8.096373805 4.678074239 8.668975181 5.052890084 6.421161943 8.507597691 10.39303663 7.670204044 9.893092341 8.339017088 10.33800648 7.883719138 9.337587548 9.434132796 7.929467802 8.951823394 8.72591117 8.399012781 7.561743791 6.212998351 8.666405135 9.350839844 5.558840979 9.054817001 6.854791444 6.196673179 8.263400199 7.81885277 8.03919695 8.589449257 8.357558663 8.793840039 8.273887032 8.87921423 7.354017397 9.112084041 6.671690686 8.315092063 9.611425636 4.98060197 8.34253805 7.509340829 7.973822826 6.894621602 8.085987338 5.801579975 7.374551593 8.47940856 6.178588965 8.372627257 6.234163716 5.061449731 5.285884496 4.817315503 5.412070985 7.943417224 7.069130286 8.636493101 6.88882306 5.977451449 8.609011182 6.374769304 6.179945222 5.684652897 6.449215864 9.320829562 6.514577253 4.772468998 8.860992179 7.17069621
"GIMAP4" 6.984284001 7.559139864 7.552620234 8.299068351 6.438241387 8.79446761 6.941516977 7.502244251 10.12823535 8.178393243 6.544952134 8.980108623 9.245209059 7.82599687 7.969058495 7.156378061 9.323944859 8.976029332 6.296620733 7.354682388 7.020223165 7.775436254 5.979031012 8.289609954 7.698548202 7.897391567 8.266763277 6.929974732 7.285830851 9.259943928 7.790841571 8.071451518 7.056763675 6.860902315 7.269106889 8.152134423 8.6762877 8.672191707 6.00774889 5.632268151 6.69618561 8.18366698 7.465531382 8.695130313 7.184116947 8.782530632 8.433737314 7.98814574 7.097172797 8.390746669 8.469239594 8.145369161 7.537449355 8.175872362 7.890612444 7.522250536 8.043756885 9.552994318 8.483986179 9.708368386 5.894057202 8.266369161 8.827648914 8.485822401 9.478231091 6.41782674 7.237178847 6.72063134 6.48541284 7.972674732 8.242598382 7.154587708 8.479142903 7.810038914 8.370265437 8.298408132 8.216575372 7.472792702 8.853897779 7.308386734 7.622045013 8.307488294 6.491193415 7.793952741 7.315944705 8.286628046 7.482570108 8.439706472 8.965471631 8.122718363 7.363579574 5.558646838 7.487302273 8.188118737 6.87574026 9.03880881 7.985801015 8.157154203 7.675595456 8.171797564 8.748971763 8.339311932 8.213501608 8.836479009 8.159566912 7.018755138 6.174181447 8.056526812 8.115012588 9.103914498 7.45940937 7.710966085 5.936591145 7.155746636 10.55895352 8.715241086 8.182736391 9.052792794 9.292490922 7.81438468 6.858065991 8.070758266 7.533844212 5.548124067 7.576287706 7.996266728 7.762601473 8.225310521 6.447575621 6.701022662 8.359354562 7.093761294 5.051642436 7.526673576 7.166029293 6.365084916 7.299394902 6.540656392 7.156268155 7.786177443 5.849002544 5.802693161 5.378966567 7.932460252 8.787582579 4.658587814 7.773138291 6.336115466 5.837407699 7.250313487 7.014636304 6.120335706 6.735152038 5.662837024 7.100501367 7.997113516 5.176000577
"KRT23" 7.235464474 6.253911163 5.722550319 7.962690164 5.943092602 5.974877074 3.64278962 6.996501991 7.98015144 6.766316191 7.414727579 7.74084138 7.73168401 6.514053707 5.928523411 7.647916322 5.047650267 6.846029542 2.773292101 6.239633377 6.779614552 8.084504577 7.381537524 8.735400074 8.232988675 8.136791967 7.683834798 6.9339467 6.996105692 7.323945522 7.620351158 7.026684157 6.673349574 7.362340651 4.169277447 6.85107576 7.879277147 6.724227622 5.023162228 6.196528945 6.842151741 8.402835271 8.617241099 7.674480197 5.690133069 7.851427844 7.10296335 5.386483387 6.411276005 6.591839224 7.803387109 5.116609647 7.454918601 4.263515629 7.852467328 7.284552625 6.456846723 6.092212082 7.29090876 7.206420372 6.083967019 7.638740392 6.890441177 7.719236395 7.875584194 6.520561952 6.783394318 7.510672993 4.926763851 7.013886064 7.790659772 5.013840665 7.264173425 8.11143652 6.409195029 9.188781464 7.810391392 7.555123103 8.310982702 8.683583362 4.929304404 6.438939845 7.018304281 5.50657983 5.169559026 6.948769381 5.417164604 8.027441977 7.467370279 8.747936854 6.899320919 2.865355278 5.331707922 8.438889791 6.009860585 9.049010132 7.732897052 4.752367441 7.971443753 8.40512698 7.178517656 8.555509557 8.176651002 6.948628093 7.04864876 3.009039354 6.354678826 8.330384881 7.483179055 7.160305397 7.632089326 6.892315968 6.627009222 6.884221503 8.007640776 6.855635381 8.998341724 6.111721883 7.640274112 8.351978649 7.470910688 7.355859078 6.01688838 4.314048036 7.353676584 6.86433751 6.81482525 6.826062704 6.245354465 2.035316334 7.930425244 6.82639526 7.225751002 6.819030245 7.507766158 6.485884493 7.888413508 3.837225338 5.334342702 3.742057165 3.480520901 5.690920215 7.362013887 6.383871742 7.227023485 4.344702859 6.606153871 7.172208653 2.716433041 5.118079848 3.857708085 5.737922302 5.058373207 4.107367644 7.521221523 5.171335671 5.270705961
"IFIT2" 3.214107708 5.750941774 5.171593716 7.638258836 3.905147759 4.519086245 4.691994542 8.425096357 11.46476111 7.213363629 4.977383448 6.428495996 9.098723035 8.209483611 10.75724758 5.88897468 9.333282906 9.799456823 4.094902129 4.275218543 5.079644296 6.204602984 6.024612724 7.86456369 8.103090126 7.015901436 8.719208029 6.152608188 5.815776638 10.45558784 8.391017799 7.159491554 3.160127468 8.01948319 4.092324764 4.836182498 9.139767723 8.186690405 7.028441045 3.214443776 4.487985925 6.296717993 6.41000692 6.282168308 4.127172567 9.84779683 5.927110245 5.481791539 4.825202009 8.907137674 7.508461052 7.5818987 6.283781866 5.056805287 6.991219206 5.602168866 7.132079961 9.174082339 7.0492634 11.59366352 3.475811606 7.202061472 9.30044046 10.09304154 11.03636922 4.400110114 4.310041821 4.250942941 5.274482981 4.753939976 6.875287707 9.39532385 7.787409034 6.474795595 4.341190891 8.540099316 9.032319647 4.167800675 7.49003956 5.392915012 3.49966128 7.164008364 4.78823573 7.950966436 2.261930573 5.687333647 5.972294246 6.899097023 8.427600135 7.072016001 2.8331247 2.829667665 4.986994094 6.25801612 4.662102521 9.726842074 5.503371849 8.073101892 7.102666315 4.370738507 7.697522794 7.610330967 9.08880898 7.38532707 7.953412545 3.299160061 4.819501829 7.272903087 5.689189614 10.780459 4.014902087 4.225702398 2.791754549 2.863450555 11.91395576 10.11682927 6.584874861 8.295571707 10.68746892 3.948754517 4.602125429 7.539689598 4.508575228 2.726451494 7.727717613 7.495397076 5.804618537 7.579423753 6.834994061 5.648754657 7.016611873 5.828611784 4.308671672 9.468581957 5.649626245 4.834537567 5.848984281 8.192101322 4.965918997 5.253298484 3.215089077 3.272460783 5.869476749 6.716144314 9.783925819 3.648996459 4.65575327 3.756373246 4.026916156 6.216375144 5.169000178 3.089992327 4.714492274 2.665876523 3.636278987 8.942742183 3.792745863
"NUDT4" 6.283676456 6.999257377 8.823274537 9.651825832 4.883965705 4.992532709 7.0640433 7.600956417 5.506825002 5.428590572 8.336986494 4.823385016 4.490596462 4.46145052 6.87607915 6.898142991 5.080785092 6.454135567 9.898263274 7.954435659 7.569445116 6.63893561 6.712085173 5.918235864 10.93835926 5.875221477 5.206417949 7.737047146 6.10483775 4.323936959 6.475518111 7.205542584 7.072255931 5.710656957 5.248353465 7.651580582 6.054893904 5.847922945 10.27711613 7.024863942 5.255078888 5.656900435 7.106360533 8.911614569 7.214527546 7.846941318 5.358743234 8.229695443 9.911257121 6.950004843 3.814832883 6.844592701 7.574758634 7.612763732 9.548059322 4.859197212 6.473678291 7.556537441 8.820592283 5.437656395 7.914314224 6.579173374 8.639387361 6.795683366 6.528910289 7.975487424 6.446821509 7.632032421 5.528535428 6.774071492 7.454034395 6.466539489 7.505225814 7.345868402 9.253084031 5.008318673 8.048314177 4.378538057 8.327629694 7.594292066 6.227366672 7.541530805 4.995023376 6.164826733 7.265069399 6.180180979 6.899143082 5.781173842 7.291045035 8.951402787 7.616277628 7.846577905 9.019253674 7.479990259 8.84374045 3.388201763 7.916364 4.656289401 5.986715058 6.190643443 6.387481247 4.756025281 7.423577834 4.592539481 7.341013314 5.628503368 7.030075789 7.99894019 6.415498817 7.533910183 6.841232939 7.104798514 7.557922679 7.11595638 6.038215696 6.429005888 6.310916204 9.505907605 7.552891298 4.804495554 5.138851349 7.297808018 6.865980305 8.095007624 8.195973228 9.45360412 8.965590834 6.065582732 7.324641534 8.76790376 7.190003109 6.18922845 9.290687325 8.832014181 8.522671819 8.271809044 6.576335175 10.1770677 10.21683582 8.634464312 9.973452694 7.152795829 8.044685141 4.921362771 5.302920478 8.268922363 8.083211617 5.07751343 9.978116979 9.245173864 9.013036324 8.449736643 7.809528014 7.427616954 8.585708056 8.630876775 3.758945082
"SESN3" 5.06524615 7.034070197 8.02414588 9.032689738 5.402308727 4.111619264 7.263537932 7.28769702 6.980360895 6.076366647 7.597773674 3.51863175 3.54047521 4.177489707 7.910597394 6.498051755 4.522452879 7.404384532 9.694840923 6.767572525 8.441937201 7.29933723 8.627749104 7.039479919 9.838904987 5.430783638 6.087707093 6.137434942 3.981047768 5.138985377 6.799419989 9.098255911 6.834579189 6.033879304 5.606047378 7.254697815 6.481153021 4.826158582 9.376896276 6.214107764 4.808790329 5.633496659 7.088900391 7.907523857 7.241633025 6.880446829 5.336252408 7.303520426 9.398544878 7.989965364 3.981073104 5.063490843 7.45834838 8.451865052 8.895257564 4.616441618 6.108351113 6.928483655 8.171730265 5.432189573 6.626430807 7.310680032 9.46550112 6.498554042 7.17721517 8.402626111 5.360759349 6.95359524 5.717358605 6.129821225 6.515205624 5.599816833 6.337987193 5.870139618 7.326314936 6.101947229 6.542997385 3.89736255 8.977577839 5.913279024 6.89379265 8.042603931 3.756413948 5.053344 6.894107692 6.542219093 5.926107449 6.220510911 6.657600191 8.336713484 6.944462572 8.766058211 7.743608645 7.512687697 8.505853369 5.515656252 8.040493892 6.374827708 6.482349237 6.731463975 5.432932586 6.256087488 7.114826323 5.32609513 7.159807108 6.526724819 5.713206014 8.726978183 5.190946723 7.575277918 6.96899303 4.344440195 6.933342348 6.05030038 7.307396092 7.112506791 7.049960857 8.130946493 7.958278144 3.755317469 4.292990414 6.03057665 5.181783947 7.578211014 8.650982248 8.878138269 9.313092428 6.273379061 6.393223782 8.733354715 8.961248939 7.210809569 8.100054121 9.540214742 7.215629403 8.200809614 7.723708461 10.38304232 10.19215707 8.982163868 9.942212942 6.842099215 6.847903072 5.015507088 5.081456303 8.712463464 8.176981664 4.211842877 9.053107772 8.493913325 8.450410374 8.160679124 6.899508376 4.434432849 9.00423682 8.39393475 6.277099335
"GYPB" 7.401075992 5.583417275 8.233552076 8.326238672 5.389063904 4.358799617 5.054170157 7.782745616 5.689336034 4.250404659 7.517460216 5.150632792 4.427473258 4.138868044 7.120803627 5.508342141 4.345561623 6.192641383 9.571729144 5.888133721 8.397834921 7.77879935 8.988089327 5.16704844 11.57395147 5.998718229 5.701527904 6.269242877 4.721035043 4.411098692 8.023661217 9.04594428 5.579095258 5.899049461 4.250532092 7.123140729 6.720447696 4.332229779 9.785187894 6.30568886 5.596679911 6.842765778 8.318269865 8.870738949 5.779905965 7.060404023 5.793115015 6.879259465 10.14247907 6.64099075 4.449369756 5.539790928 7.570989729 9.155183305 8.694678233 3.97752672 5.957922715 7.800899105 8.778430211 6.771371242 7.216444577 5.333017116 9.059565641 4.782050491 6.918808724 9.098813571 5.679835825 5.849220616 5.05229293 6.274913742 5.872972657 6.381426109 8.39288268 7.688529453 8.67485436 5.424696113 8.667480008 5.825297869 8.926565694 7.618637015 4.53842321 8.483026513 4.909779937 7.011616777 8.67628056 5.643513987 4.900330394 5.565378077 6.288003623 9.80770889 6.471653756 8.423054128 6.179225422 5.194213796 9.640722702 4.442283362 7.654415739 7.677864274 5.589235602 6.9237644 6.662562701 6.873639856 5.857969618 3.961974939 7.581975065 4.45453517 5.444857061 7.857096163 3.805399289 7.518032125 8.892439896 5.044245092 8.215404451 7.40070346 6.972291128 5.283600161 6.291913524 8.577300786 8.374304807 5.395385581 3.925498349 7.113326791 5.381837537 8.825379926 6.809218001 9.562409714 9.831676431 5.4873005 6.171904861 9.718990698 6.37215972 6.040984119 10.41690998 9.018683215 6.550545278 9.1137739 6.616285817 9.221925982 9.109459607 8.553569086 10.85517974 5.837547996 8.371479601 5.466600482 4.979040594 6.934615042 9.043519562 6.067648799 10.10755796 9.360372117 8.31273034 7.674638414 6.209514606 5.21300645 7.118707043 10.86311564 5.841971016
"C2orf88" 7.001878864 7.457975566 8.837669665 8.442328523 6.504801738 6.662482196 5.464575794 6.821128633 5.274889126 5.291976105 7.460356202 4.462746308 4.064009926 5.19255468 7.168922946 6.433384732 4.667574238 4.92829795 10.3838464 7.068582415 7.589117756 6.391060417 8.075725156 6.060245234 8.769051483 5.9197364 6.812143037 7.059045849 5.487027153 5.866717597 5.515124509 6.241278478 6.358001494 6.771152135 5.773233225 7.054253691 7.204088897 4.670463701 10.60316921 5.745666692 4.997637918 7.983730702 6.689336725 4.255584043 6.067263456 7.755355761 6.176273112 6.367870295 8.579788321 6.582416897 5.342060046 7.09787199 7.101917292 5.518105916 6.548011011 6.084967496 6.614094676 6.410666528 8.1652536 6.059572961 7.288512273 5.921035048 8.074936731 5.800892835 6.079525159 8.017380494 5.92496391 6.971793991 4.389331284 7.279395351 5.758204418 7.77961123 6.847078967 7.197393018 7.312466718 5.837692078 7.156766311 4.321362639 7.176761268 8.069229299 7.334367037 7.336417244 6.701989749 6.339836049 7.150950482 5.093171506 5.335014558 6.405288729 7.268235161 7.066572854 7.853509482 8.288636834 8.024582636 6.903391901 8.14046124 6.087204242 7.083586777 7.145864275 5.999706204 6.221801148 6.367655948 6.310483834 8.085925047 4.714750091 7.278759921 5.405968136 6.219329336 6.723112224 4.10936624 7.125232599 6.690667076 6.186182117 6.638913652 5.717576274 6.958898828 5.636285706 6.061671343 6.925810804 7.602466883 5.843258429 5.404354049 7.582436237 7.026366225 8.475851226 7.074377727 9.209534421 9.236464504 5.882068544 7.968928687 8.676109832 8.178446987 7.099277033 9.147624297 7.938010886 7.45464105 8.446828384 6.301667083 10.17467222 7.723612516 8.542767216 10.37940314 8.318156534 6.925055675 5.100861857 6.401350898 8.849819825 6.756797094 4.289640298 8.480418593 8.426375651 8.867742815 8.905768809 5.775528404 6.677180263 9.079220753 8.496440868 6.883845912
