pathway	padj	NES
HEME_METABOLISM	5.00E-49	-4.190240347
SPERMATOGENESIS	0.001544115	-1.9360211
MYOGENESIS	0.000355351	-1.866697797
EPITHELIAL_MESENCHYMAL_TRANSITION	0.000419776	-1.841762679
KRAS_SIGNALING_DN	0.003201811	-1.832281662
CHOLESTEROL_HOMEOSTASIS	0.011729289	-1.753584531
XENOBIOTIC_METABOLISM	0.001011164	-1.693751897
COAGULATION	0.034674064	-1.506007966
HYPOXIA	0.030253025	-1.465270367
APICAL_JUNCTION	0.039218323	-1.412073471
ESTROGEN_RESPONSE_LATE	0.046701113	-1.406586955
E2F_TARGETS	0.039218323	-1.405433651
MYC_TARGETS_V1	0.046701113	1.390543611
COMPLEMENT	0.011729289	1.532948391
UNFOLDED_PROTEIN_RESPONSE	0.023181486	1.563137054
IL6_JAK_STAT3_SIGNALING	0.003011986	1.803864346
INFLAMMATORY_RESPONSE	1.44E-06	2.044594995
ALLOGRAFT_REJECTION	1.10E-07	2.140911849
INTERFERON_GAMMA_RESPONSE	2.97E-20	2.802080169
INTERFERON_ALPHA_RESPONSE	2.91E-15	2.853152535
