logFC	AveExpr	t	P.Value	adj.P.Val	B
C19orf59	4.68656663847212	9.72650237350754	30.5866336315706	2.19368410445178e-77	2.46175230201579e-73	165.855112988321
S100A8	1.91322657123112	12.5437994874874	29.7987775549693	1.59676238256773e-75	8.95943372858753e-72	161.608661285386
S100A12	3.47391722176481	11.2951579414623	29.5141159317253	7.65138728869488e-75	2.8621289384578e-71	160.056236315968
P2RY10	-2.81813850844657	3.19042395028141	-28.3488853389585	5.16066390763639e-72	1.44782425928739e-68	153.599566149782
EPHX2	-2.21966610450232	2.70211876854774	-27.3046306653435	2.03367193832252e-69	4.56437329837107e-66	147.671637813439
ANXA3	3.91757308872532	8.89473237172362	27.0283943243577	1.01057998050783e-68	1.89012142354314e-65	146.08080920733
NMT2	-1.97091183741464	3.07437966586432	-24.5722184169586	2.38213804920744e-62	3.81890759831512e-59	131.511043702752
C5orf32	2.54357916024158	11.4365255056482	24.3412263528866	9.84413232995094e-62	1.38088566258387e-58	130.101222535387
BCL2	-2.23065419126074	3.39810307435176	-24.2534678139651	1.69065029498251e-61	2.10805306781041e-58	129.563812476312
ARG1	5.47489475242742	7.5222835949196	23.8525946628897	2.02445222473186e-60	2.27184028659409e-57	127.09643858451
PJA1	-1.99784273377468	3.04373334390452	-23.7117411851603	4.86694808102944e-60	4.96517194230112e-57	126.224607125502
C2orf89	-2.55889099047967	3.40090320909045	-23.6593654199704	6.74819455685073e-60	6.31068660974824e-57	125.899773914133
UPP1	2.5504384959065	8.82174513055779	23.4160054487498	3.09473552307514e-59	2.67147092614994e-56	124.38586919336
VNN1	4.16789097252497	8.04877869562312	23.1351753908862	1.81098199134022e-58	1.45163142191571e-55	122.629491506494
TIGIT	-1.68712300157956	2.80807504457789	-22.6857981603431	3.12342352053128e-57	2.3367372498268e-54	119.798152264526
CD177	6.73878727308188	7.30138201983417	22.6033780652849	5.28011834513024e-57	3.70334300431572e-54	119.276085906351
PID1	-2.08799557272009	3.10820038381407	-22.3828322327326	2.16062710925825e-56	1.42626808353506e-53	117.874894474495
NELL2	-3.04225802950058	3.78881915238191	-22.344002786135	2.7706958744815e-56	1.72737495019063e-53	117.627566986138
LRRN3	-3.13792219587108	3.26666883630653	-22.3059889127801	3.53514938013901e-56	2.08797086020631e-53	117.385251197183
TLR5	3.01816129473461	7.3780311800603	22.2404467288113	5.38318405235494e-56	3.02050457177636e-53	116.967033679885
OSGEPL1	-1.42781677261789	2.55848298402513	-21.8923646937755	5.06771930165102e-55	2.70809266681561e-52	114.736973046066
GYG1	3.04995663050406	9.25899380448744	21.8182518380058	8.18427596445096e-55	4.1397929428672e-52	114.260208205321
TCTN1	-1.30382356940767	2.98421913345729	-21.8126821373815	8.48469414417622e-55	4.1397929428672e-52	114.224351072624
FBXL16	-1.95732643927875	3.27141534501508	-21.7993877273485	9.24724226203063e-55	4.32385636102115e-52	114.138747574578
C12orf65	-1.67220286214634	4.12454357706533	-21.6537292937266	2.37755933771668e-54	1.06723883551426e-51	113.199413888078
FCER1A	-3.52394070416725	3.83582781472362	-21.576392784451	3.92950356200323e-54	1.69603419126155e-51	112.699617169117
PRKCQ	-2.60024866763066	4.0270765138593	-21.5286422931528	5.36073108609623e-54	2.22807867585822e-51	112.390656646571
TMEM109	-1.6033303273194	4.70438375145226	-21.4563220703591	8.58506921609662e-54	3.44077309796558e-51	111.922189791407
CLEC4D	4.68290330406388	7.20340000055276	21.3730875915662	1.47730018964247e-53	5.71664232005787e-51	111.382231729845
GTPBP3	-1.3692204949669	3.01531838348744	-21.317434530431	2.12463320014858e-53	7.94754459068912e-51	111.020727846334
IL1R2	3.77601116887631	10.3572776423618	21.2710083359094	2.87778566921925e-53	1.04175841225737e-50	110.718870020904
TBC1D4	-1.91666344767247	2.95559849214573	-21.2476573662406	3.35258303486722e-53	1.17570896304e-50	110.566945601464
CSRP2BP	-1.03599986804529	2.89183861556784	-21.2369168931499	3.59661566492731e-53	1.22306730278225e-50	110.497044456293
FAM43A	-1.65710973952846	3.54352286840704	-21.1717180821781	5.51134597325877e-53	1.81906836799735e-50	110.072417185773
QRICH1	-1.00975078717596	6.07097690746734	-21.075241971425	1.03740813123968e-52	3.32622687107762e-50	109.443142723884
IL11RA	-1.3276709282532	3.35051632027638	-21.051763374594	1.21024190141924e-52	3.77259294936854e-50	109.289831316083
KIAA1147	-2.05752938813705	3.82090962262312	-21.0470964406516	1.24789499673048e-52	3.78483179819174e-50	109.259349080502
KIAA0748	-2.71246410339431	5.19449289625126	-21.0133828221993	1.55715604638983e-52	4.59852767173333e-50	109.039069516856
IRAK3	2.46890560127758	8.24709508025126	21.0039089134312	1.65715488145125e-52	4.76835694349896e-50	108.97714383691
CD96	-2.09792912417189	3.33562136098492	-20.9015473687941	3.24875090320008e-52	9.11437065892782e-50	108.307375667332
BACH2	-1.82109805840941	3.00885604601508	-20.8593541837127	4.28924382049513e-52	1.1739974183804e-49	108.030933290768
LILRA5	2.42875798844193	9.52717869415578	20.8240517887155	5.4126377940451e-52	1.41408016068792e-49	107.799474646537
STMN3	-2.35177324060859	3.96827889396985	-20.8238899645746	5.41841444569423e-52	1.41408016068792e-49	107.798413310852
SIDT1	-1.97285188018002	3.55965646772362	-20.7859003201932	6.96085333823795e-52	1.77533400367514e-49	107.549168967022
TRAF5	-2.46801934477236	4.19137378389447	-20.7649743403187	7.99133595829831e-52	1.99286160275608e-49	107.411803306925
CKAP4	2.20910532775262	9.18490268017588	20.7135897454882	1.12186589166813e-51	2.73686500789124e-49	107.074275348495
PATZ1	-1.28686417726946	3.04060426913065	-20.641782599912	1.80318477680604e-51	4.30539139687603e-49	106.602073671532
RNF125	-2.20303699023693	3.99919373973367	-20.6111652041287	2.20799131598428e-51	5.16209969749492e-49	106.40054895824
ANAPC1	-1.44525686140186	3.82024216531658	-20.6062053791113	2.28165691197476e-51	5.22545997268996e-49	106.367892799742
BCL11B	-3.32926990072823	4.40129964584925	-20.5903399408199	2.53425908063792e-51	5.68789108058375e-49	106.263413104099
SLC22A4	1.85044720273867	8.0651481639799	20.523820233069	3.93714788241564e-51	8.66326932087613e-49	105.825033537598
DYRK2	-2.09011416599768	3.90084653785427	-20.4826328105972	5.17322420941143e-51	1.11642157842337e-48	105.553338388912
METTL9	1.79934275507027	10.1405132232261	20.4561039828786	6.16855922207801e-51	1.30610512434263e-48	105.378234067019
GAL3ST4	-1.42561213598955	2.62101252391457	-20.3675135749149	1.11082453596247e-50	2.30845795232793e-48	104.792893641877
BCL9L	-1.68793917863705	4.79492526182412	-20.321522757174	1.50806855553841e-50	3.077008241864e-48	104.488658936806
HK3	2.63500256343844	8.60690772009045	20.2724382902605	2.09047383701146e-50	4.18916024981117e-48	104.163688039157
SGK223	-1.50784993615506	5.46170898047739	-20.2623535524571	2.23562140120016e-50	4.40142866039793e-48	104.096885932112
BCKDHB	-1.31919499347619	3.8194889908392	-20.1192158878228	5.80408376989873e-50	1.12299013906558e-47	103.147463075275
ZNHIT6	-1.72450065006853	3.31863175623116	-20.0314256437874	1.04317793215967e-49	1.98415978893149e-47	102.563990098266
CNIH4	2.28897178154356	8.60471480644221	20.0152744289346	1.16210215769262e-49	2.17351840227109e-47	102.456549570823
SERPINB1	1.93473375980314	10.2088196411809	19.975691697521	1.51427417311536e-49	2.78576799519681e-47	102.193112917908
GADD45A	3.59868551616086	7.47716595012563	19.953425269489	1.75754594567527e-49	3.18115816167225e-47	102.044843782092
GATA3	-1.89354729531417	4.6877755391608	-19.935792465669	1.97770540530722e-49	3.52282699339009e-47	101.92738933212
TTC27	-1.33320703780372	2.75304130770854	-19.8667949061365	3.13956211743548e-49	5.50502595029077e-47	101.467448473002
CCR6	-1.2966266967532	2.84990219226131	-19.8398378015005	3.76138463404784e-49	6.49388590204383e-47	101.287604892555
RABL2B	-1.40511054529152	3.34822855088945	-19.7991113341753	4.94287071081039e-49	8.40437804798701e-47	101.015743974307
MMP9	3.19298788496807	10.7873887984824	19.7514439886158	6.80660746578924e-49	1.14005595494159e-46	100.697313775718
SBK1	-1.86629192942277	4.14555348778392	-19.7274418808463	7.99721825193145e-49	1.31977622387022e-46	100.53687702239
CD160	-2.20852030218002	3.28525470521608	-19.6975387076442	9.77682775924809e-49	1.59008059585916e-46	100.336905738606
RABL2A	-1.36962824901336	3.36720373140704	-19.6903690604851	1.02594896844361e-48	1.6438715231339e-46	100.288945360313
CCDC88C	-2.04840372073925	4.13130879462312	-19.6883375897189	1.04005416273843e-48	1.6438715231339e-46	100.275355070241
NLRC3	-2.37631841503426	4.97907862941709	-19.668391236552	1.18930478859844e-48	1.82984090165532e-46	100.141891971404
UBASH3A	-1.85542401891928	3.28216567061307	-19.6682635868913	1.19032601872071e-48	1.82984090165532e-46	100.1410377116
CARD6	2.09899706857491	6.78485603170352	19.5892564966471	2.02548959584239e-48	3.07162760061396e-46	99.6119571915663
PAFAH2	-1.20684197361498	3.61799668527136	-19.5626485007417	2.4229668947775e-48	3.62540459909241e-46	99.4336177296144
