"pathway" "pval" "padj" "ES" "NES" "nMoreExtreme" "size"
"1" "REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT" 0.98661311914324 1 0.153541372960123 0.705576742086662 736 78
"2" "REACTOME_ABC_TRANSPORTER_DISORDERS" 0.164989939637827 0.495574177666733 0.261539790990628 1.1574585190981 163 62
"3" "REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS" 0.280529350104822 0.684625199660577 -0.441153557419956 -1.15560064389419 2140 17
"4" "REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS" 0.57010101010101 0.921797597683911 0.295871751646911 0.9168832546987 1410 15
"5" "REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT" 0.524638802889577 0.89625795493636 -0.35995929444532 -0.968782818650999 4066 19
"6" "REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS" 0.452488687782805 0.833799379734608 0.278085632203077 0.992946989364854 899 25
"7" "REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION" 0.213414634146341 0.572512497822095 0.343867239003366 1.1874926002486 454 22
"8" "REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS" 0.575909661229611 0.921797597683911 0.290666522900558 0.915667949276459 1376 16
"9" "REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS" 0.0499420625724218 0.215539427944136 -0.446866491776999 -1.40147270704872 430 43
"10" "REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS" 0.143142393610383 0.443164356743397 -0.451203486661317 -1.28310182588024 1146 25
"11" "REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA" 0.100704131792215 0.347446670976083 -0.530536022828584 -1.35364264445788 757 15
"12" "REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS" 0.250183418928833 0.635140568178463 -0.400214721484877 -1.17154684518217 2045 29
"13" "REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP" 0.98989898989899 1 0.153446655604071 0.616008082081422 1469 39
"14" "REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON" 0.890128869403481 1 -0.264376931151054 -0.67454776455886 6699 15
"15" "REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING" 0.763291139240506 1 0.248618923863078 0.801107399061336 1808 17
"16" "REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES" 0.000404040404040404 0.00931035265799214 0.724415122512512 2.24490540778249 0 15
"17" "REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS" 0.906034482758621 1 0.182390675029986 0.775226991497448 1050 52
"18" "REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S" 0.000112625295641401 0.00421160760143811 -0.639949940921521 -2.08349805540587 0 55
"19" "REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX" 0.358448060075094 0.746081871268195 -0.385797235741236 -1.08868865655111 2863 24
"20" "REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION" 0.253295668549906 0.641056938922601 0.25500350748767 1.10799032247446 268 58
"21" "REACTOME_AGGREPHAGY" 0.952907906061724 1 -0.214406432599003 -0.622474948046871 7749 28
"22" "REACTOME_AMINO_ACIDS_REGULATE_MTORC1" 0.708684804562196 0.998490618111684 -0.278221852632518 -0.849240796661657 5964 37
"23" "REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE" 0.674095771777891 0.988725450937469 -0.315925963374896 -0.866083466321094 5292 21
"24" "REACTOME_AMYLOID_FIBER_FORMATION" 0.394957983193277 0.778101644159979 0.263650688359568 1.0246518794936 657 34
"25" "REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE" 0.488392466053438 0.868724126168806 -0.296336605046481 -1.00030691633432 4459 71
"26" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" 0.0755404420694681 0.278999027877952 -0.464294233876103 -1.36790521267994 621 30
"27" "REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC" 0.436168872085696 0.818440446476593 -0.367539321976278 -1.02813799650304 3460 23
"28" "REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION" 0.00152905198776758 0.0171756524653345 0.359376974720009 1.69292133661403 0 88
"29" "REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION" 0.913744457879887 1 -0.214460415317251 -0.798429664075137 9067 245
"30" "REACTOME_ANTIMICROBIAL_PEPTIDES" 0.000590667454223272 0.0105292894013714 0.540502981014809 2.06506289273075 0 32
"31" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" 0.00992150021805495 0.0713651770070619 -0.439934966459357 -1.48803864013683 90 72
"32" "REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" 0.0367534456355283 0.168367739782867 0.272936310406975 1.27772836817997 23 87
"33" "REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A" 0.169377382465057 0.500858665439159 -0.454683831359613 -1.25768578979846 1332 22
"34" "REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B" 0.342460519612837 0.746081871268195 -0.402267941607262 -1.10278246692767 2688 21
"35" "REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1" 0.935312831389183 1 0.1728450910109 0.768322710717426 881 64
"36" "REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS" 0.995776020794975 1 -0.165511560068664 -0.56392701722565 9193 77
"37" "REACTOME_APOPTOSIS" 0.934210526315789 1 -0.20596282986551 -0.745576656537147 9087 149
"38" "REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS" 0.679507758159444 0.988725450937469 0.235000717246586 0.871254924088644 1269 28
"39" "REACTOME_APOPTOTIC_EXECUTION_PHASE" 0.895332221957609 1 -0.23292265494083 -0.70783293692304 7518 36
"40" "REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE" 0.949789029535865 1 0.199781084653747 0.643740639778324 2250 17
"41" "REACTOME_AQUAPORIN_MEDIATED_TRANSPORT" 0.0625 0.244047619047619 0.361220682577494 1.3717351468745 108 31
"42" "REACTOME_ARACHIDONIC_ACID_METABOLISM" 0.293145654834761 0.696751991201462 0.279031916686043 1.08905777607113 478 35
"43" "REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION" 0.999495306349046 1 -0.157655005256666 -0.586050557089765 9901 239
"44" "REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS" 0.661777777777778 0.988385901577047 0.263763217528334 0.87349845059078 1488 19
"45" "REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES" 0.00251382604323781 0.0239690390169186 0.515182609419627 1.83953776016296 4 25
"46" "REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS" 0.283349328214971 0.685387755564237 -0.379599524558587 -1.14294745591719 2361 34
"47" "REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS" 0.695004382120947 0.99309966100263 0.208341455345961 0.894979483528223 792 54
"48" "REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS" 0.196345305608066 0.547215496368039 -0.438034660918951 -1.22533849236726 1557 23
