logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
NEDD4L	-1.24353860179388	-1.61050019029424	-0.876577013293519	3.98439001274874	-6.68221528519419	2.28280612912331e-10	1.70702499006836e-06	13.1481662987617
BCAM	-0.398900382936394	-0.517529637286164	-0.280271128586624	2.75466798254271	-6.6306247750959	3.04228299780496e-10	1.70702499006836e-06	12.8795503146758
STAT5A	0.57396783638905	0.396078686628433	0.751856986149667	7.01747699237186	6.3623842806883	1.32509750583375e-09	4.0597072853549e-06	11.5041231477459
ARHGEF12	-1.3284950853637	-1.7412894820693	-0.915700688658104	4.50858617333166	-6.34611529519894	1.44705303345389e-09	4.0597072853549e-06	11.4218737651872
GIMAP4	1.04205578100837	0.714430293562485	1.36968126845425	7.98976365174372	6.27184167522628	2.15909941026755e-09	4.84588271640449e-06	11.0481194630752
TBC1D22B	-0.63560512361597	-0.840971824864942	-0.430238422366998	4.0856365858593	-6.10294086193864	5.30473629885674e-09	9.61642909063983e-06	10.209016639688
ELL2	-0.859082627667145	-1.13772076058077	-0.580444494753525	3.42640335188945	-6.07961649877549	5.99848544238806e-09	9.61642909063983e-06	10.094343154116
FKBP1B	-1.00001947942181	-1.32687147135176	-0.673167487491855	4.61938226601005	-6.03308054080582	7.65855978598684e-09	1.0743044739793e-05	9.86643582872984
YPEL4	-0.614088980601864	-0.821778749112431	-0.406399212091297	2.61289442239698	-5.8303953085526	2.18825543963807e-08	2.46439899402803e-05	8.88778696027676
TFDP2	-0.655903278870637	-0.877761367410931	-0.434045190330343	3.19318906236683	-5.82970172073123	2.1960425895812e-08	2.46439899402803e-05	8.88447770577939
TUBG2	-0.92406394026351	-1.24257100478376	-0.605556875743263	3.69381935532161	-5.72090522429211	3.82059352918083e-08	3.89770005313339e-05	8.36880111113313
ZNF23	-0.703275533327594	-0.947199482645474	-0.459351584009715	3.02925835789447	-5.68529317786696	4.57293339077224e-08	4.1835335200791e-05	8.20149312054417
FAM134A	-0.559852626084167	-0.754426667870576	-0.365278584297758	7.60839561842714	-5.67375552610571	4.84636747113066e-08	4.1835335200791e-05	8.14744714142713
SPTA1	-0.706756564057388	-0.954427975055604	-0.459085153059173	2.64002586520603	-5.62698518595264	6.12780600423846e-08	4.911874212826e-05	7.92916042576352
SFRS16	0.423929786758487	0.274511934689745	0.573347638827229	4.94882518886935	5.5946541318815	7.20122238693878e-08	5.38747450841513e-05	7.77901922879538
C2orf88	-1.22977541855141	-1.66700883410972	-0.792542002993096	6.50813570438693	-5.54618384912202	9.16198901300394e-08	6.09346301347554e-05	7.55509347286383
RNF114	0.702792329294356	0.452853929973099	0.952730728615613	5.06404800315075	5.54467158899788	9.23087428525078e-08	6.09346301347554e-05	7.54812961795246
GGA3	0.402367231692009	0.258123834671484	0.546610628712535	6.78696657006533	5.5005797131179	1.14769197272233e-07	7.15522184327223e-05	7.34569319008389
TBCEL	-0.576362283256576	-0.78361999465433	-0.369104571858821	2.398154895	-5.48361119442854	1.24763621832305e-07	7.2491223590477e-05	7.26809879493834
TMCC2	-1.2172973102176	-1.65612699254638	-0.778467627888823	5.33008740464322	-5.46993878817492	1.33429253325221e-07	7.2491223590477e-05	7.20570376496321
TCP11L2	-0.916300794967241	-1.24682643305941	-0.585775156875074	3.44827340459799	-5.46656744220707	1.35654579878811e-07	7.2491223590477e-05	7.19033579917977
PCDH1	-0.517168541498566	-0.704301346050174	-0.330035736946959	2.34333072033668	-5.44959179796484	1.47420838335494e-07	7.51980294454961e-05	7.11305882041385
UBAC1	-0.536112383294833	-0.73218929257794	-0.340035474011727	6.39801450302513	-5.39151956619877	1.95683821677784e-07	9.5476688994265e-05	6.85003044561423
RSC1A1	-0.349952106619082	-0.478471343472927	-0.221432869765236	2.43737153973367	-5.3693569147274	2.17899494943842e-07	0.000101886172177491	6.75019390594667
March 8	-1.18793823956289	-1.62564549671311	-0.750230982412667	5.31446836883417	-5.35170190273635	2.37336270900541e-07	0.000106530651013279	6.67087982963588
