"pathway" "pval" "padj" "log2err" "ES" "NES" "size"
"1" "HALLMARK_ADIPOGENESIS" 0.965624192297751 0.997480050398992 0.00839332800588645 0.146136752230071 0.721694376908604 153
"2" "HALLMARK_ALLOGRAFT_REJECTION" 8.76076373087377e-09 1.09509546635922e-07 0.747739663149885 0.431853548130506 2.14091184883237 158
"3" "HALLMARK_ANDROGEN_RESPONSE" 0.997480050398992 0.997480050398992 0.00916602265924153 0.122130427015037 0.541556144711011 78
"4" "HALLMARK_ANGIOGENESIS" 0.570837927232635 0.811059793095721 0.0282333656572472 -0.252277911200165 -0.917888635650358 21
"5" "HALLMARK_APICAL_JUNCTION" 0.0141185962081484 0.0392183228004124 0.245188063659135 -0.257678727896373 -1.41207347131099 130
"6" "HALLMARK_APICAL_SURFACE" 0.635829207920792 0.836617378843148 0.017272837972392 0.252180056602528 0.883954782075676 27
"7" "HALLMARK_APOPTOSIS" 0.0351898399259161 0.0799769089225367 0.0873572860780536 0.28170739958387 1.36324996162491 134
"8" "HALLMARK_BILE_ACID_METABOLISM" 0.957797560171447 0.997480050398992 0.0225493896866513 -0.148518593464177 -0.711953369431123 64
"9" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" 0.00304961509698263 0.0117292888345486 0.431707695803346 -0.372510105661623 -1.75358453141928 58
"10" "HALLMARK_COAGULATION" 0.0110957004160888 0.0346740638002774 0.256635016972443 -0.297048017173006 -1.50600796552942 83
"11" "HALLMARK_COMPLEMENT" 0.00284311191522357 0.0117292888345486 0.310776919977249 0.310408541828043 1.53294839089493 153
"12" "HALLMARK_DNA_REPAIR" 0.972635814889336 0.997480050398992 0.0255575630146592 -0.135923786987165 -0.743922591928825 129
"13" "HALLMARK_E2F_TARGETS" 0.0136084284460053 0.0392183228004124 0.260820567718869 -0.250024109425359 -1.40543365059643 152
"14" "HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" 5.87686308677018e-05 0.000419775934769299 0.557332238758646 -0.352146394083075 -1.84176267927667 101
"15" "HALLMARK_ESTROGEN_RESPONSE_EARLY" 0.0636182902584493 0.132538104705103 0.113318868985054 -0.233415862585801 -1.26077928801769 121
"16" "HALLMARK_ESTROGEN_RESPONSE_LATE" 0.0186804451510334 0.0467011128775835 0.211070537868325 -0.25964049187591 -1.40658695540628 122
"17" "HALLMARK_FATTY_ACID_METABOLISM" 0.861635220125786 0.990365466386781 0.027232696813654 -0.154229649177054 -0.832642954649162 120
"18" "HALLMARK_G2M_CHECKPOINT" 0.0973648950424296 0.194729790084859 0.0967541689411413 -0.211644712539388 -1.19557452338666 157
"19" "HALLMARK_GLYCOLYSIS" 0.753302087771623 0.918661082648321 0.0311360145358356 -0.159732102484042 -0.893312326068395 146
"20" "HALLMARK_HEDGEHOG_SIGNALING" 0.992199936326011 0.997480050398992 0.0112172909450369 0.154634587483186 0.485944709731784 18
"21" "HALLMARK_HEME_METABOLISM" 1e-50 5e-49 NA -0.724990769716449 -4.19024034656114 177
"22" "HALLMARK_HYPOXIA" 0.00907590759075908 0.0302530253025303 0.310776919977249 -0.264060174801365 -1.46527036677305 139
"23" "HALLMARK_IL2_STAT5_SIGNALING" 0.719989729105148 0.899987161381435 0.0127690809820734 0.177455159030518 0.884378787795564 164
"24" "HALLMARK_IL6_JAK_STAT3_SIGNALING" 0.000602397218931947 0.00301198609465973 0.477270815362862 0.417906616411852 1.80386434627264 68
"25" "HALLMARK_INFLAMMATORY_RESPONSE" 1.43872258650358e-07 1.43872258650358e-06 0.690132458796796 0.416228141182894 2.04459499483179 148
"26" "HALLMARK_INTERFERON_ALPHA_RESPONSE" 1.74644388376693e-16 2.91073980627821e-15 1.04762648849882 0.636332430645661 2.85315253548326 84
"27" "HALLMARK_INTERFERON_GAMMA_RESPONSE" 1.18761006486918e-21 2.96902516217294e-20 1.20397524075264 0.556037370452429 2.80208016874905 179
"28" "HALLMARK_KRAS_SIGNALING_DN" 0.000704398379846442 0.00320181081748383 0.477270815362862 -0.383206875818901 -1.83228166211096 63
"29" "HALLMARK_KRAS_SIGNALING_UP" 0.182432432432432 0.325772200772201 0.0658132939529589 -0.210651610279531 -1.14119259678543 122
"30" "HALLMARK_MITOTIC_SPINDLE" 0.559507523939809 0.811059793095721 0.0385859064414778 -0.168331430228936 -0.963739095800747 169
"31" "HALLMARK_MTORC1_SIGNALING" 0.600184246890834 0.811059793095721 0.0372807383739711 -0.164847949759353 -0.950975708636538 176
"32" "HALLMARK_MYC_TARGETS_V1" 0.0182833925850686 0.0467011128775835 0.119566417816168 0.275213389426926 1.39054361072117 183
