logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
S100A8	1.97859312677871	1.81516467133456	2.14202158222285	12.5437994874874	23.8731990599114	1.78103426923082e-60	1.54406499822885e-56	127.130554351579
C19orf59	4.70801022982913	4.31799385953493	5.09802660012333	9.72650237350754	23.8032556525204	2.75185349889297e-60	1.54406499822885e-56	126.699542549903
S100A12	3.57311721389776	3.27351197204515	3.87272245575037	11.2951579414623	23.516877405485	1.64462967792977e-59	6.12160873986069e-56	124.92823698847
P2RY10	-3.01196246232773	-3.26500064959746	-2.758924275058	3.19042395028141	-23.4717400521999	2.18200275881685e-59	6.12160873986069e-56	124.648092696884
EPHX2	-2.44630910777731	-2.65323320274959	-2.23938501280503	2.70211876854774	-23.3121359576637	5.94179407707186e-59	1.33357626265801e-55	123.655416654701
BCL2	-2.61680665141737	-2.85091565989485	-2.38269764293988	3.39810307435176	-22.0412037305762	1.93926660057764e-55	3.62707496528038e-52	115.634822321858
ARG1	6.29358266109384	5.70933111890581	6.87783420328187	7.5222835949196	21.2412403284974	3.49631138792197e-53	5.60508662789434e-50	110.482312435721
ANXA3	3.9322514062619	3.5633106938683	4.30119211865551	8.89473237172362	21.0167952775301	1.52263865942237e-52	2.13588137950473e-49	109.022528612568
NMT2	-2.16425068516667	-2.36841627680501	-1.96008509352833	3.07437966586432	-20.9029129310418	3.21967991951072e-52	4.01458311741659e-49	108.279503237649
PJA1	-2.25804847061065	-2.47251403667137	-2.04358290454992	3.04373334390452	-20.7614406614787	8.17986732663446e-52	9.17944711394919e-49	107.354290118752
C2orf89	-2.89525212951961	-3.17055352566817	-2.61995073337105	3.40090320909045	-20.737661216537	9.5699650221247e-52	9.76310431620758e-49	107.198539312093
FAM43A	-2.03949784695098	-2.23872791721438	-1.84026777668758	3.54352286840704	-20.1859950530641	3.71795322447694e-50	3.47690592375669e-47	103.566401911003
FBXL16	-2.32022560902241	-2.54877427322232	-2.0916769448225	3.27141534501508	-20.0185827700723	1.13668300526269e-49	9.81219745004454e-47	102.457124238814
C5orf32	2.67487575580112	2.4088874618992	2.94086404970304	11.4365255056482	19.8300080296993	4.01766179230901e-49	3.2138012038064e-46	101.203765779011
FCER1A	-4.17861104379972	-4.5943392325986	-3.76288285500084	3.83582781472362	-19.8200284692819	4.29575994092818e-49	3.2138012038064e-46	101.137323859099
NELL2	-3.46792769283894	-3.81450074402419	-3.12135464165368	3.78881915238191	-19.7313610431448	7.78943252212163e-49	5.22338333717096e-46	100.546498503446
