"pathway" "pval" "padj" "ES" "NES" "nMoreExtreme" "size"
"1" "REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT" 0.984302570585756 1 -0.163189005811553 -0.579811797687402 9342 78
"2" "REACTOME_ABC_TRANSPORTER_DISORDERS" 0.623626373626374 0.908041230923192 0.187676030372038 0.935704047025758 453 62
"3" "REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS" 0.271612740141557 0.610540633534763 -0.428320401087314 -1.16856665509562 2148 17
"4" "REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS" 0.164775306400363 0.451749749426499 0.375974768177315 1.26423124716908 362 15
"5" "REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT" 0.211873840445269 0.518238998188167 -0.43722951330234 -1.22691757182583 1712 19
"6" "REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS" 0.988910088242309 1 -0.168590408483396 -0.501626835120427 8292 25
"7" "REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION" 0.14252607184241 0.42287784679089 0.333758813517042 1.26378311543197 245 22
"8" "REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS" 0.966156699119147 1 0.1787506707628 0.612471212799744 2083 16
"9" "REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS" 0.0130536650674997 0.0807942754556612 -0.471774038981343 -1.5490854950151 116 43
"10" "REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS" 0.30872883377057 0.651760871293426 -0.380129822040684 -1.13104488731302 2588 25
"11" "REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA" 0.129760225669958 0.414461147935095 -0.499701874291093 -1.3255312548185 1011 15
"12" "REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS" 0.518957624134288 0.832726058260769 -0.319076904663198 -0.974590173124557 4420 29
"13" "REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP" 0.998757763975155 1 -0.12826160883329 -0.414848444637319 8843 39
"14" "REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON" 0.713681241184767 0.944310908027659 -0.309765219698388 -0.821696898672715 5565 15
"15" "REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING" 0.337320574162679 0.687259124914985 0.306255864784862 1.0735359460482 704 17
"16" "REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES" 0.000907852927825692 0.0117732673338665 0.688780478381275 2.31605383369505 1 15
"17" "REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS" 0.982935900240648 1 -0.165900836849393 -0.560257736786868 8985 52
"18" "REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S" 0.000108920596884871 0.00369195452162753 -0.603983727467863 -2.05570566869703 0 55
"19" "REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX" 0.719411553641909 0.947998773105548 -0.280487932844393 -0.828664068203975 6014 24
"20" "REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION" 0.312258064516129 0.65535772244633 0.219883147831772 1.07396276410157 241 58
"21" "REACTOME_AGGREPHAGY" 1 1 -0.10350665033456 -0.31425654164345 8483 28
"22" "REACTOME_AMINO_ACIDS_REGULATE_MTORC1" 0.496642003414912 0.819710134929258 -0.309614324219011 -0.992874677703284 4362 37
"23" "REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE" 0.172278338945006 0.464485804988662 0.326270788597361 1.2223023260205 306 21
"24" "REACTOME_AMYLOID_FIBER_FORMATION" 0.571102661596958 0.878213334150667 0.219508699872342 0.944329140441116 750 34
"25" "REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE" 0.783058071390517 0.967476801899007 -0.23288848204117 -0.818207485156619 7348 71
"26" "REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS" 0.00967365967365967 0.0663461127494978 -0.525506943779618 -1.61752655075039 82 30
"27" "REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC" 0.116025410523792 0.389047619047619 -0.455496220592852 -1.33430573426883 967 23
"28" "REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION" 0.0292682926829268 0.142268237720231 0.258201084685437 1.37059644950886 11 88
"29" "REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION" 0.907132839110399 0.994769139112303 -0.209914314843903 -0.807398660750559 9054 245
"30" "REACTOME_ANTIMICROBIAL_PEPTIDES" 0.00145878920495988 0.0156819839533187 0.455930826204573 1.92979250502034 1 32
"31" "REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES" 0.00138253748803573 0.0152639611854756 -0.4650017321941 -1.63654376024125 12 72
"32" "REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION" 0.875156576200418 0.988359332817721 -0.208975071972417 -0.750989784114107 8383 87
"33" "REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A" 0.111164813919768 0.380006916202722 -0.463241000658823 -1.34427003888018 919 22
"34" "REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B" 0.248296836982968 0.573046654844873 -0.412880944720942 -1.18720673433192 2040 21
"35" "REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1" 0.142649199417758 0.42287784679089 0.237789121107511 1.19547685761888 97 64
"36" "REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS" 0.81176097972973 0.979407533699185 -0.225897957162998 -0.801185917967752 7688 77
"37" "REACTOME_APOPTOSIS" 0.700060716454159 0.944310908027659 -0.241348233846663 -0.905823741479272 6917 149
"38" "REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS" 0.752828854314003 0.955063934743075 -0.265389531142838 -0.805749156945502 6386 28
"39" "REACTOME_APOPTOTIC_EXECUTION_PHASE" 0.717828571428571 0.947440941610893 -0.263162167063956 -0.839979883093759 6280 36
"40" "REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE" 0.732810920121335 0.953218409523637 -0.297023159111965 -0.810354488481736 5797 17
"41" "REACTOME_AQUAPORIN_MEDIATED_TRANSPORT" 0.0877318116975749 0.315149569944082 0.316547560222012 1.32546125431899 122 31
"42" "REACTOME_ARACHIDONIC_ACID_METABOLISM" 0.150115473441109 0.434909013480091 0.2809142443926 1.2231018666615 194 35
"43" "REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION" 0.959310483062738 1 -0.192651891969908 -0.740390444794177 9571 239
"44" "REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS" 0.588419405320814 0.885942201878848 0.249591057397031 0.90783848219782 1127 19
"45" "REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES" 0.000618811881188119 0.0100358687106918 0.533711474198909 2.10877313970099 0 25
