GENE	logFC	adj.P.Val
AAK1	-1.082479681	1.62E-10
ABCB7	-1.092215973	1.50E-14
ABCC13	2.279256471	9.20E-12
ABCE1	-1.053642133	3.28E-14
ABCF1	-1.335301368	1.17E-18
ABCG1	-1.505574492	1.10E-07
ABHD13	1.102041164	1.86E-09
ABHD14B	-1.084654734	5.15E-25
ABHD15	-1.488838545	2.06E-35
ABI2	-1.462378625	4.38E-26
ABI3	-1.483945635	7.26E-17
ABLIM1	-3.28108918	4.05E-38
ABLIM3	1.127925048	4.85E-07
ACER3	1.961768888	4.83E-15
ACN9	1.59214048	1.08E-13
ACSL4	1.380495948	3.31E-10
ACSL5	-1.634524567	2.28E-20
ACSS1	-1.501762693	3.65E-28
ACTL6A	-1.168333134	4.84E-18
ACVR1B	1.097898264	4.29E-15
ADA	-2.001651186	8.84E-18
ADAM9	2.080855146	1.73E-21
ADARB1	-1.904222332	4.37E-34
ADCY7	-1.23135127	7.49E-14
ADM	1.518008672	5.41E-16
ADO	-1.06855421	5.10E-16
ADORA3	1.648141108	7.14E-11
ADPRHL2	-1.092153391	2.73E-14
ADRB2	-1.337661159	5.17E-16
ADRBK2	-1.205153792	2.84E-12
AES	-1.399945284	9.62E-17
AFF3	-1.694505393	1.26E-28
AGAP4	-1.191449613	1.94E-24
AGFG1	2.227330917	2.92E-28
AGK	-1.172511523	4.12E-26
AGPAT2	1.045120284	1.08E-20
AGPAT5	-1.651981969	5.12E-23
AGTPBP1	1.310891594	2.74E-10
AHI1	-1.180018692	3.13E-17
AHNAK	-1.969259549	1.01E-19
AHSP	2.512409273	7.40E-12
AIG1	1.045465007	1.02E-08
AIM2	1.732433727	3.42E-11
AIMP2	-1.026641371	7.44E-21
AKAP1	-1.855938061	1.13E-24
AKAP11	-1.48492833	1.96E-14
AKNA	-1.24716839	1.32E-19
AKR1B1	-1.476092652	7.26E-25
AKR7A2	-1.154952688	2.70E-09
ALAS2	1.615709188	6.36E-08
ALCAM	1.401777962	5.48E-07
ALDH18A1	-1.293619159	3.24E-23
ALDH1A1	-1.694788979	4.53E-22
ALDH9A1	-1.378231663	2.21E-25
ALG2	-1.162234884	3.15E-17
ALG8	-1.154101473	8.52E-21
ALPK1	1.090239076	1.14E-09
ALPL	2.40538657	1.06E-19
AMFR	1.129419574	9.80E-11
AMIGO2	-1.394983524	1.24E-17
AMPD2	-1.699937911	3.59E-20
AMPH	1.471111985	5.14E-13
ANAPC1	-1.567043413	2.35E-39
ANAPC13	-1.093736089	1.36E-14
ANK1	1.144989772	1.03E-05
ANK3	-1.304893922	3.91E-18
ANKH	-1.285615677	2.29E-07
ANKRD22	4.427470363	5.36E-32
ANKRD34B	2.329884677	1.29E-11
ANKRD36	-1.223292245	2.69E-19
ANKRD44	-1.087338474	5.43E-07
ANKRD9	1.991563168	5.41E-14
ANKS1A	1.153053674	8.81E-09
ANXA1	1.527016215	1.84E-17
ANXA2	-1.028821616	6.28E-11
ANXA3	3.932251406	2.14E-49
ANXA6	-1.014543788	2.35E-08
AP3S2	1.09832473	6.50E-11
APEX1	-1.465724853	1.37E-17
APH1B	1.167039975	1.11E-12
APOBEC3B	1.422100641	0.01
APOBEC3F	-1.213535286	1.55E-23
APOBEC3G	-1.138673442	1.30E-13
APOL3	-2.481354975	3.27E-31
APRT	-1.421597679	4.44E-21
AQP10	1.042857818	5.76E-07
AQP3	-2.220273449	5.41E-30
ARG1	6.293582661	5.61E-50
ARHGAP17	-1.300919513	4.55E-19
ARHGAP18	1.181137262	3.45E-12
