Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045087~innate immune response	115	6.110520722635495	2.8014750554888473E-18	OTUD4, SPON2, CD84, CLEC10A, UBE2L6, ADARB1, PRDM1, IL1RAP, IPO7, CLU, HERC5, TRIM28, DHX58, CLEC5A, PGLYRP1, CD177, FBXO9, GBP5, RAB2B, DAPK1, METTL3, CD180, RNASE6, RNASE3, IFI27, SLPI, IL23A, TRIM14, PADI4, ALPK1, CLEC4E, NAIP, S100A8, BLK, CSF1R, ENDOD1, ZBTB1, LY96, GATA3, CD1D, DDX60, LY9, G3BP1, S100A12, SLAMF6, NLRP1, PI3, KLRC1, LYAR, SLAMF1, SRPK2, XRCC6, APOBEC3F, APOBEC3G, CD160, DEFA4, NONO, SH2D1B, LY86, ISG15, PARP14, SRPK1, ISG20, TREML1, VNN1, LCN2, APOBEC3B, IGHM, ITGAM, CRISP3, HMGB2, OASL, IFIH1, IKBKB, TMEM43, C1QBP, TRIM68, JAK3, CAMP, RBM14, ANXA1, FCER1G, PARP1, ARG1, ZAP70, SFPQ, AIM2, TRAF3, OAS2, LCK, OAS3, TRIM58, BPI, CD46, TLR5, TRIM56, C1QB, CX3CR1, DDX21, NLRC4, SAMHD1, LILRA5, TIFA, FYN, FCGR1A, GBP1, CD55, KLRG1, RIOK3, MX1, MCOLN2, GZMM, CD6, PTX3, CD244	1787	528	19256	2.3469586746027713	1.4564868813486518E-14	1.4564868813486518E-14	1.4405184735323653E-14
GOTERM_BP_DIRECT	GO:0042110~T cell activation	27	1.434643995749203	2.2678541211033882E-12	CD86, ITK, CD84, CD3G, NLRC3, CD3E, RASGRP1, LY9, HSPD1, DPP4, CLEC7A, SLAMF7, CEACAM21, SLAMF6, AZI2, SMAD3, DDOST, RBX1, CD2, ZAP70, CD4, CD8B, IRF4, CD8A, CD7, CD28, ADA	1787	59	19256	4.931207496704068	1.1790565412894694E-8	5.895286787808257E-9	5.8306529453568115E-9
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	37	1.9659936238044633	1.6064584388617512E-9	POP5, RPL5, DDX27, DDX47, UTP23, NOLC1, DDX21, NOL8, PWP1, FBL, EXOSC6, RPS16, EXOSC10, EXOSC4, RPS19, NOB1, EXOSC9, RPL14, BRIX1, LYAR, NOP56, NOP58, RPS7, IMP3, DDX56, WDR75, RRP1B, WBP11, RPUSD4, ISG20, RPS25, EBNA1BP2, NSA2, DKC1, SBDS, MPHOSPH10, ESF1	1787	131	19256	3.0434905188874697	8.35194240644821E-6	2.783992474547415E-6	2.753469764209042E-6
GOTERM_BP_DIRECT	GO:0032729~positive regulation of interferon-gamma production	27	1.434643995749203	3.481873270445786E-9	TXK, CD3E, RASGRP1, HSPD1, IL27RA, KLRK1, CLEC7A, PDE4B, SLAMF6, JAK2, SLAMF1, HLA-DPA1, BTN3A1, IL1R1, CD160, PDE4D, CRTAM, SCRIB, ISG15, BTN3A2, CD2, SLC7A5, IL23A, HLA-DPB1, IRF8, CD244, IL18R1	1787	78	19256	3.7300159269941022	1.8102095131089513E-5	4.52556478326191E-6	4.475948089158057E-6
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	51	2.709883103081828	1.8377038306253443E-8	SPON2, CD40, PRF1, ADARB1, IFIT1, IFIT3, OASL, IFIT2, IFIH1, HERC5, DHX58, DHX15, AZI2, GBP5, RAB2B, DDX56, RNASE6, RNASE2, ILF3, PLSCR1, AIM2, IFI27, TRAF3, OAS2, IL23A, IRF1, OAS3, IFIT1B, CARD16, ZMYND11, TRIM56, DDX21, DDX60, SAMHD1, EXOSC4, G3BP1, NLRP1, GBP1, APOBEC3F, APOBEC3G, RIOK3, STAT1, TREX1, STAT2, CARD9, MX1, ISG15, ISG20, CNOT7, BCL2, APOBEC3B	1787	235	19256	2.338534808129636	9.553765917136303E-5	1.9108444430842328E-5	1.8898946194151043E-5
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	33	1.7534537725823591	2.815425628857991E-8	KHDRBS1, ITK, TXK, CD3G, CBLB, GATA3, CD3E, CD3D, IKBKB, TRBC1, SLC39A6, PDE4B, FYN, PLCG1, EIF2B1, BTN3A1, PDE4D, RFTN1, THEMIS, BTN3A3, BTN3A2, LIME1, ZAP70, CD8B, LCK, CD8A, HLA-DPB1, CD28, CD247, ADA, HLA-DRB1, SKAP1, HLA-DQB1	1787	120	19256	2.9632904308897596	1.463632682062732E-4	2.439566307405449E-5	2.4128197639312983E-5
GOTERM_BP_DIRECT	GO:0050870~positive regulation of T cell activation	16	0.8501594048884166	6.29563116578742E-8	HLA-DRB5, HLA-DRB4, SIRPG, HSPD1, HLA-DMA, CD4, HLA-DMB, LCK, HLA-DPB1, HLA-DRA, PRKCQ, HLA-DOA, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	1787	33	19256	5.224534093028778	3.272563143217333E-4	4.675855204418399E-5	4.624590779211273E-5
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	74	3.9319872476089266	7.796861477142848E-8	ORM1, CD40, TNFAIP6, GPR68, LY75, ADM, IL1RAP, ITGAL, LTB4R, RPS6KA4, POLB, IKBKB, RPS6KA5, IL18RAP, ADORA3, BLNK, C3AR1, CCR7, CCR5, PF4V1, CCR3, PTGDR, MAP2K3, GBP5, CD96, CAMK1D, ANXA1, IL1R1, CD180, TPST1, AIM2, NFX1, IL23A, TXNIP, CHI3L1, TRIM14, PRKCQ, TLR5, S100A8, NAIP, MGLL, IDO1, HDAC4, PTGER4, CX3CR1, CSF1R, PXK, STK39, LY96, GATA3, NLRC4, HDAC9, THBS1, FUT7, CLEC7A, CXCR3, CCL5, S100A12, TSPAN2, NLRP1, APOL3, ABCF1, HNRNPA0, KLRG1, NFATC3, LY86, PPBP, SELP, VNN1, BCL6, ACER3, PTX3, IL18R1, PF4	1787	417	19256	1.9122170646247412	4.0527669728251947E-4	5.0669853524582086E-5	5.011432714433566E-5
GOTERM_BP_DIRECT	GO:0006401~RNA catabolic process	16	0.8501594048884166	1.029995144664903E-7	RNASEH2B, PNPT1, PABPC4, DIS3L, RNASE6, RNASE3, RNASE2, SUPV3L1, ISG20, EXOSC6, EXOSC4, EXOSC10, OAS2, EXOSC9, PPP1R8, EXOSC8	1787	34	19256	5.070871325586754	5.353511517306453E-4	5.949938619014256E-5	5.88470559318548E-5
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	11	0.5844845908607864	2.1819853719919872E-7	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DRB4, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	1787	16	19256	7.408226077224399	0.0011337711141864437	1.134414194898634E-4	1.1219768782782799E-4
