sample	Group
LFQ.intensity.CS10	healthy
LFQ.intensity.CS11	healthy
LFQ.intensity.CS13	healthy
LFQ.intensity.CS14	healthy
LFQ.intensity.CS15	healthy
LFQ.intensity.CS16	healthy
LFQ.intensity.CS17	healthy
LFQ.intensity.CS19	healthy
LFQ.intensity.CS2	healthy
LFQ.intensity.CS20	healthy
LFQ.intensity.CS21	healthy
LFQ.intensity.CS22	healthy
LFQ.intensity.CS23	healthy
LFQ.intensity.CS24	healthy
LFQ.intensity.CS25	healthy
LFQ.intensity.CS26	healthy
LFQ.intensity.CS3	healthy
LFQ.intensity.CS4	healthy
LFQ.intensity.CS6	healthy
LFQ.intensity.CS7	healthy
LFQ.intensity.CS8	healthy
LFQ.intensity.CS9	healthy
LFQ.intensity.C10	covid19
LFQ.intensity.C11	covid19
LFQ.intensity.C12	covid19
LFQ.intensity.C13	covid19
LFQ.intensity.C14	covid19
LFQ.intensity.C15	covid19
LFQ.intensity.C17	covid19
LFQ.intensity.C18	covid19
LFQ.intensity.C19	covid19
LFQ.intensity.C20	covid19
LFQ.intensity.C21	covid19
LFQ.intensity.C22	covid19
LFQ.intensity.C23	covid19
LFQ.intensity.C24	covid19
LFQ.intensity.C25	covid19
LFQ.intensity.C27	covid19
LFQ.intensity.C28	covid19
LFQ.intensity.C6	covid19
LFQ.intensity.C7	covid19
LFQ.intensity.C8	covid19
LFQ.intensity.C9	covid19
LFQ.intensity.P1	covid19
LFQ.intensity.P10	covid19
LFQ.intensity.P11	covid19
LFQ.intensity.P12	covid19
LFQ.intensity.P13	covid19
LFQ.intensity.P14	covid19
LFQ.intensity.P15	covid19
LFQ.intensity.P16	covid19
LFQ.intensity.P20	covid19
LFQ.intensity.P21	covid19
LFQ.intensity.P22	covid19
LFQ.intensity.P24	covid19
LFQ.intensity.P25	covid19
LFQ.intensity.P26	covid19
LFQ.intensity.P27	covid19
LFQ.intensity.P28	covid19
LFQ.intensity.P29	covid19
LFQ.intensity.P30	covid19
LFQ.intensity.P31	covid19
LFQ.intensity.P32	covid19
LFQ.intensity.P33	covid19
LFQ.intensity.P34	covid19
LFQ.intensity.P35	covid19
LFQ.intensity.P36	covid19
LFQ.intensity.P37	covid19
LFQ.intensity.P38	covid19
LFQ.intensity.P39	covid19
LFQ.intensity.P44	covid19
LFQ.intensity.P46	covid19
LFQ.intensity.P48	covid19
LFQ.intensity.P5	covid19
LFQ.intensity.P6	covid19
LFQ.intensity.P7	covid19
LFQ.intensity.P8	covid19
