Accession	gene_name
Q99805	TM9SF2
Q9Y237	PIN4
Q92854	SEMA4D
Q8IZC7	ZNF101
P80511	S100A12
Q13233	MAP3K1
P05165	PCCA
Q8TAM2	TTC8
Q86TL0	ATG4D
P10415	BCL2
Q7Z736	PLEKHH3
Q8NHV9	RHOXF1
Q9H6S3	EPS8L2
Q9P287	BCCIP
Q93063	EXT2
Q92545	TMEM131
Q9BQ70	TCF25
Q9Y2D8	SSX2IP
Q15744	CEBPE
Q8N4L2	PIP4P2
Q9UL17	TBX21
Q6FI81	CIAPIN1
P53680	AP2S1
Q99848	EBNA1BP2
P42766	RPL35
Q8N7C3	TRIML2
P48507	GCLM
A6NCS4	NKX2-6
O95391	SLU7
Q6ZMR5	TMPRSS11A
P52298	NCBP2
Q9ULZ2	STAP1
Q13478	IL18R1
Q14393	GAS6
A6NH13	DNAJC9-AS1
Q92833	JARID2
O00462	MANBA
O60437	PPL
B2RXH4	BTBD18
P83881;Q969Q0	RPL36A
Q9H8W3	FAM204A
P11686	SFTPC
P46379	BAG6
Q5JTH9	RRP12
Q9Y6X5	ENPP4
P40261	NNMT
Q5T6J7	IDNK
O43296	ZNF264
Q9NYZ2	SLC25A37
Q9ULW6	NAP1L2
A6NMB1	SIGLEC16
Q9H4D0	CLSTN2
Q00534	CDK6
Q15904	ATP6AP1
Q9Y676	MRPS18B
P50895	BCAM
Q5T7W7	TSTD2
O75594	PGLYRP1
P30046;A6NHG4	DDT
P05114	HMGN1
Q9Y4P8	WIPI2
Q9HBD1	RC3H2
O75364	PITX3
Q9Y3X0	CCDC9
P49418	AMPH
O95455	TGDS
Q9Y2I9	TBC1D30
Q02086	SP2
A0A1B0GTR3;P0DPH9	CXorf51A
O95833	CLIC3
Q15843	NEDD8
Q6IMI6	SULT1C3
Q96P11	NSUN5
Q9Y252	RNF6
Q9NP70	AMBN
Q04941	PLP2
Q8WUB8	PHF10
Q9Y4C1	KDM3A
Q9H560	ANKRD19P
Q8N4Q1	CHCHD4
Q9Y5H2	PCDHGA11
P78337	PITX1
Q5TKA1	LIN9
P28289	TMOD1
Q6PJT7	ZC3H14
Q9C005	DPY30
O95361	TRIM16
Q86V25	VASH2
Q9UKK3	PARP4
P85037	FOXK1
Q15004;Q6RIA2	PCLAF
Q6ZVT6	C3orf67
Q15102	PAFAH1B3
P41221	WNT5A
Q9UQR1	ZNF148
Q9UIA0	CYTH4
P54756	EPHA5
Q8NDQ6	ZNF540
Q9UJD0	RIMS3
Q86VE3	SATL1
Q9BW04	SARG
O14602;P47813	EIF1AY
O75954	TSPAN9
P01909	HLA-DQA1
P0C025	NUDT17
Q13009	TIAM1
P48163	ME1
O95865	DDAH2
Q8N8V2	GBP7
O43791	SPOP
Q86UT6	NLRX1
Q8WUB2	FAM216A
H3BV60	TGFBR3L
Q96EI5	TCEAL4
Q9H1E3	NUCKS1
O75190;Q8WWF6	DNAJB6
Q9GZS9	CHST5
Q15768	EFNB3
O95168	NDUFB4
O00483	NDUFA4
Q05516	ZBTB16
O43402	EMC8
P55036	PSMD4
O75934	BCAS2
Q9UL33	TRAPPC2L
Q96LC7	SIGLEC10
P09067	HOXB5
P12694	BCKDHA
Q86XH1	IQCA1
Q9H1R2	DUSP15
P0C7V9	METTL15P1
P18577;Q02161	RHCE
Q9H6K4	OPA3
Q14392	LRRC32
P29279	CTGF
Q9NRM1	ENAM
Q9H8H0	NOL11
Q9Y615	ACTL7A
Q96Q89	KIF20B
Q8NET8	TRPV3
P55285	CDH6
Q9HCN8	SDF2L1
P14209	CD99
Q9UHK6	AMACR
A0A0U1RRI6	CENPVL3
P06127	CD5
Q14919	DRAP1
Q9NYK6	EURL
P56730	PRSS12
Q5THK1	PRR14L
Q9GZN8	C20orf27
Q9H0P0	NT5C3A
Q96QS3	ARX
P16333	NCK1
Q9H4A6	GOLPH3
Q9Y2Y8	PRG3
O00192	ARVCF
P55327	TPD52
Q9Y316	MEMO1
Q16478	GRIK5
Q5T1J5;Q9Y6H1	CHCHD2P9
P13501	CCL5
Q9BUH6	PAXX
O00193	SMAP
P21580	TNFAIP3
Q00973	B4GALNT1
P54278	PMS2
Q9Y2H1	STK38L
Q9H910	JPT2
Q93052	LPP
Q9Y3B8	REXO2
Q8WWF3	SSMEM1
Q9BRQ8	AIFM2
Q14563	SEMA3A
O15121	DEGS1
Q9Y5L3	ENTPD2
Q8WXD2	SCG3
O00505	KPNA3
Q99985	SEMA3C
P56279	TCL1A
Q9BV38	WDR18
Q99550	MPHOSPH9
Q70EL1	USP54
P48552	NRIP1
Q5T5A4	C1orf194
Q6PEZ8	PODNL1
Q13526	PIN1
P17342	NPR3
Q9NYV4	CDK12
P29122	PCSK6
Q9P0K1	ADAM22
Q53GI3	ZNF394
Q9Y5B6	PAXBP1
Q8IWU9	TPH2
Q5TG30	ARHGAP40
Q15306	IRF4
Q9UNA0	ADAMTS5
Q8WZA0	LZIC
Q9H5J8	TAF1D
Q01064	PDE1B
Q8N6Q3	CD177
Q6P6B7	ANKRD16
Q9NR96	TLR9
Q8TF65	GIPC2
Q9Y2V2	CARHSP1
Q9HBY8	SGK2
Q8NHL6	LILRB1
Q9BZE4	GTPBP4
Q5SR53	PIK3CD-AS1
P54840	GYS2
P54619	PRKAG1
Q7L5N1	COPS6
Q96IZ5	RBM41
O43865	AHCYL1
Q96AN5	TMEM143
Q7LFL8	CXXC5
P53384	NUBP1
Q9NXZ2	DDX43
Q99627	COPS8
P42696	RBM34
Q9UHR5	SAP30BP
Q13705	ACVR2B
O76042	ERC2-IT1
P23588	EIF4B
Q15628	TRADD
Q7Z401	DENND4A
Q15560	TCEA2
Q8IUC4	RHPN2
P62857	RPS28
Q86VX9	MON1A
Q9Y2K1	ZBTB1
Q96PQ7	KLHL5
Q96LB3	IFT74
P12109	COL6A1
Q96NA8	TSNARE1
Q8NA47	CCDC63
Q9H4I0	RAD21L1
Q6UXN9	WDR82
Q96M29	TEKT5
O95568	METTL18
Q15293	RCN1
Q9P270	SLAIN2
Q5T5X7	BEND3
Q15431	SYCP1
Q9NZI2	KCNIP1
Q96E29	MTERF3
Q12774	ARHGEF5
A6NJ46	NKX6-3
Q1X8D7	LRRC36
Q9BT22	ALG1
P01876	IGHA1
Q6PCB7	SLC27A1
P30536	TSPO
Q9BXB5	OSBPL10
O95563	MPC2
Q15750	TAB1
Q02045	MYL5
P56385	ATP5ME
Q8IXT5	RBM12B
O15427	SLC16A3
O43660	PLRG1
Q9UMZ2	SYNRG
Q96I25	RBM17
Q13568	IRF5
Q9H2X6	HIPK2
P48060	GLIPR1
Q9NVX7	KBTBD4
Q96GM1	PLPPR2
Q6JQN1	ACAD10
P12829	MYL4
Q6TGC4	PADI6
Q5VXH4	PRAMEF6
Q9H6Z4	RANBP3
Q8NCT3	KIAA0895
Q969X1	TMBIM1
Q5VWM3	PRAMEF18
Q8NEZ5	FBXO22
Q9Y3C6	PPIL1
P50914	RPL14
Q8WUW1	BRK1
P52740	ZNF132
O95139	NDUFB6
Q8IX90	SKA3
Q8TBJ5	FEZF2
Q9NRG9	AAAS
Q5JNZ5	RPS26P11
P47914	RPL29
Q13131	PRKAA1
P62306	SNRPF
Q8TB52	FBXO30
Q9NRK6	ABCB10
O95777	LSM8
Q86WI3	NLRC5
Q7Z449	CYP2U1
Q9Y312	AAR2
Q9ULM6	CNOT6
Q7Z4W1	DCXR
Q7Z6L1	TECPR1
O75747	PIK3C2G
Q96PU9	ODF3
P10398	ARAF
Q8N427	NME8
Q70SY1	CREB3L2
Q96PX6	CCDC85A
Q9BR11	ZSWIM1
Q7Z7M8	B3GNT8
Q96PB1	CASD1
P61970	NUTF2
P42680	TEC
Q8IZQ5	SELENOH
Q68D86	CCDC102B
Q5EBL4	RILPL1
Q9Y3E5	PTRH2
Q9Y6A9	SPCS1
Q9NQ90	ANO2
Q8IYJ3	SYTL1
O95219	SNX4
Q8ND04	SMG8
Q86VZ2	WDR5B
Q5VWC8	HACD4
Q9UKR0	KLK12
Q58DX5	NAALADL2
Q9Y286	SIGLEC7
Q9P015	MRPL15
Q8WWZ7	ABCA5
P60866	RPS20
Q9BY32	ITPA
Q155Q3	DIXDC1
Q9BSJ2	TUBGCP2
Q9Y4X5	ARIH1
Q9Y6K9	IKBKG
A6NJL1	ZSCAN5B
P78539	SRPX
O00154	ACOT7
Q9Y3Q4	HCN4
O15160	POLR1C
Q9Y314	NOSIP
Q96A19	CCDC102A
Q9NV96	TMEM30A
Q14190	SIM2
P49758	RGS6
Q15369	ELOC
Q9BVC6	TMEM109
O43148	RNMT
P09327	VIL1
P62917	RPL8
Q01780	EXOSC10
