Accession	Sepsis_410	Sepsis_344	Healthy_243C	Healthy_203C	Healthy_220C	Sepsis_412	Sepsis_323	Sepsis_363	Sepsis_420	Sepsis_337	Sepsis_403	Sepsis_347	Sepsis_322	Sepsis_320	Healthy_201C	Healthy_252C	Sepsis_366	Sepsis_327	Sepsis_373	Sepsis_352	Sepsis_378	Healthy_202C	Healthy_258C	Sepsis_408	Sepsis_341	Sepsis_310	Healthy_240C	Healthy_257C	Sepsis_304	Sepsis_368	Sepsis_334	Sepsis_422	Sepsis_326
Q9C0C9	8.844467163	8.445612907	4.320278645	3.639835119	7.67325449	8.41695118	8.201383591	8.645676613	8.688900948	6.598400593	6.560374737	7.691697121	4.542332172	6.819250584	7.556099892	8.108263969	7.534484863	4.149089813	6.489594936	7.471523285	8.519708633	7.750486851	5.373981476	8.45728302	7.572831631	7.365979195	8.449048996	8.408072472	2.221846819	8.217514992	9.278212547	9.386886597	6.982223511
Q8TDZ2	12.40847874	11.73106766	13.57535839	9.735770226	10.60908127	10.61491585	10.90847015	12.17952251	11.75508308	10.32522583	15.13887882	13.86083794	10.97053528	10.76414108	11.12088394	10.81008148	15.13478184	12.48195076	15.43589687	14.46236801	12.10268116	10.41530037	13.18591213	10.6452446	10.42138672	11.24773788	10.74544525	10.81967258	11.9320612	10.53855705	11.87407494	13.55618858	10.99221039
Q15118	5.652395725	9.101694107	9.614492416	10.58178043	10.18862343	8.407437325	7.923266888	7.090457916	7.921593666	9.223542213	9.359020233	8.273836136	8.699192047	8.872311592	10.14613628	9.159413338	5.134827137	9.798765182	8.21150589	7.675004482	8.604866028	10.02266407	9.88842392	8.579774857	9.059922218	8.636573792	9.377221107	8.209100723	9.017444611	8.513864517	7.92368269	4.009293079	9.490963936
Q04446	11.79547215	11.53929329	11.67399406	13.02412224	11.73940468	11.71985149	11.97843933	11.51226139	11.31604385	12.19593143	10.75773525	12.39254284	11.94312286	11.30705166	11.48766041	12.43518066	12.5058918	12.29121017	10.72920513	10.29172993	12.42318726	11.45456982	12.67772484	12.13511944	12.3655386	13.13340187	12.99853992	13.38438606	12.41751671	12.78726768	12.22946548	12.41354752	12.67722988
P61604	8.472314835	8.919510841	9.909241676	10.15491581	9.572917938	8.842263222	8.898277283	9.181212425	8.522064209	8.96628952	9.430541039	8.42628479	9.769312859	9.675800323	9.825966835	9.408782005	8.366988182	9.200071335	9.08638382	8.811825752	8.637737274	9.78592205	8.900985718	9.36681366	8.933964729	9.720900536	8.861593246	9.175714493	10.07639217	9.223485947	9.776080132	7.266004086	12.04724884
Q15029	11.26238441	10.90125847	11.41375828	10.86815357	11.15041065	10.56252575	10.69657516	10.93463516	11.06926441	11.03674221	11.9246788	11.95175266	11.70708084	11.38309288	11.54778957	11.57477188	12.18059444	11.61722565	11.84515095	11.46622849	11.43626785	11.10623932	11.3924675	11.08507633	10.99014568	11.22910213	11.1306181	11.19344044	12.43161106	11.08220387	11.45877361	11.30315685	12.03556252
P31946	15.16119385	14.23435879	15.59388447	16.87591934	13.29129887	13.82102203	15.11012077	14.69720078	15.15347767	15.05496788	15.70007229	14.80731583	15.68226337	13.20938492	13.87958145	14.64858055	15.90035152	14.19286633	16.39520454	14.51903915	14.98133755	13.92649364	14.99098587	13.93296051	14.2080183	14.36931801	13.89344311	13.76591587	16.78351402	14.04498005	15.65915489	16.55296326	15.06350327
P62258	12.51561165	12.20218945	11.94099903	13.50300407	11.18202114	12.4329977	12.23470402	12.02023983	13.40276814	12.05192757	12.31764603	12.27341747	12.27514744	12.30205822	12.70293808	12.92084789	12.92267799	11.43456745	12.49072075	13.00028133	13.84954071	11.36576748	11.55647373	14.15951443	13.3285656	13.90664005	12.64088821	13.67257404	13.10646629	13.67006683	13.3794899	13.86631584	15.29080105
Q04917	13.03832054	12.82080173	13.72083569	14.9601326	11.88413811	13.55014038	13.70074558	12.733428	13.48601913	12.95223236	13.47814465	13.9406786	13.84503555	12.24393845	12.20269966	12.95178318	14.2800045	12.10927773	14.61251068	13.74499702	13.43476582	12.49097443	13.09920025	12.64877892	12.54279327	13.98857784	12.99452114	13.76325798	14.97017574	13.10057545	14.06958675	14.21477032	14.50902271
P61981	12.00816441	12.07608795	12.95721817	14.15858459	11.92141533	12.48631477	12.65381336	10.14842415	12.37615013	12.53447437	12.96058846	13.0872736	13.27851582	11.98291588	12.25931644	12.34414291	13.56776714	12.23045635	13.89847088	13.03150463	12.77239513	12.50296211	12.95377922	11.42926884	12.44165707	12.98031425	12.56530762	13.06062031	14.02454853	12.59304714	13.17296696	14.23589039	13.46244144
